demographic_value,total_cases,percent_cases,deaths,percent_deaths,percent_of_ca_population,report_date
American Indian or Alaska Native,33,0.2,3,0.5,0.5,4/13/20
American Indian or Alaska Native,33,0.2,3,0.4,0.5,4/14/20
American Indian or Alaska Native,32,0.2,3,0.4,0.5,4/15/20
American Indian or Alaska Native,34,0.2,4,0.5,0.5,4/16/20
American Indian or Alaska Native,38,0.2,4,0.4,0.5,4/17/20
American Indian or Alaska Native,39,0.2,4,0.4,0.5,4/18/20
American Indian or Alaska Native,40,0.2,4,0.4,0.5,4/19/20
American Indian or Alaska Native,43,0.2,4,0.4,0.5,4/20/20
American Indian or Alaska Native,50,0.2,4,0.3,0.5,4/21/20
American Indian or Alaska Native,53,0.2,5,0.4,0.5,4/22/20
American Indian or Alaska Native,53,0.2,7,0.5,0.5,4/23/20
American Indian or Alaska Native,56,0.2,7,0.5,0.5,4/24/20
American Indian or Alaska Native,58,0.2,7,0.5,0.5,4/25/20
American Indian or Alaska Native,59,0.2,7,0.5,0.5,4/26/20
American Indian or Alaska Native,63,0.2,7,0.4,0.5,4/27/20
American Indian or Alaska Native,71,0.2,7,0.4,0.5,4/28/20
American Indian or Alaska Native,73,0.2,7,0.4,0.5,4/29/20
American Indian or Alaska Native,66,0.2,7,0.4,0.5,4/30/20
American Indian or Alaska Native,68,0.2,7,0.4,0.5,5/1/20
American Indian or Alaska Native,70,0.2,7,0.3,0.5,5/2/20
American Indian or Alaska Native,71,0.2,7,0.3,0.5,5/3/20
American Indian or Alaska Native,72,0.2,7,0.3,0.5,5/4/20
American Indian or Alaska Native,74,0.2,8,0.4,0.5,5/5/20
American Indian or Alaska Native,75,0.2,8,0.3,0.5,5/6/20
American Indian or Alaska Native,78,0.2,8,0.3,0.5,5/7/20
American Indian or Alaska Native,80,0.2,8,0.3,0.5,5/8/20
American Indian or Alaska Native,84,0.2,8,0.3,0.5,5/9/20
American Indian or Alaska Native,87,0.2,8,0.3,0.5,5/10/20
American Indian or Alaska Native,89,0.2,9,0.3,0.5,5/11/20
American Indian or Alaska Native,91,0.2,9,0.3,0.5,5/12/20
American Indian or Alaska Native,92,0.2,10,0.4,0.5,5/13/20
American Indian or Alaska Native,95,0.2,11,0.4,0.5,5/14/20
American Indian or Alaska Native,99,0.2,13,0.4,0.5,5/15/20
American Indian or Alaska Native,104,0.2,14,0.5,0.5,5/16/20
American Indian or Alaska Native,108,0.2,14,0.4,0.5,5/17/20
American Indian or Alaska Native,111,0.2,14,0.4,0.5,5/18/20
American Indian or Alaska Native,113,0.2,14,0.4,0.5,5/19/20
