race,total_cases,total cases/group population,deaths,total deaths/group population,date,doses/group population
American Indian or Alaska Native,3828,0.000193267,70,3.53E-06,12/16/20,0.000308765
American Indian or Alaska Native,3908,0.000197306,72,3.64E-06,12/17/20,0.000647901
American Indian or Alaska Native,4042,0.000204072,74,3.74E-06,12/18/20,0.001275555
American Indian or Alaska Native,4157,0.000209878,74,3.74E-06,12/19/20,0.001574197
American Indian or Alaska Native,4253,0.000214725,74,3.74E-06,12/20/20,0.00178679
American Indian or Alaska Native,4352,0.000219723,74,3.74E-06,12/21/20,0.002662469
American Indian or Alaska Native,4423,0.000223308,75,3.79E-06,12/22/20,0.003391358
American Indian or Alaska Native,4423,0.000223308,75,3.79E-06,12/23/20,0.00442395
American Indian or Alaska Native,4655,0.000235021,78,3.94E-06,12/24/20,0.00480358
American Indian or Alaska Native,4739,0.000239262,79,3.99E-06,12/25/20,0.004818765
American Indian or Alaska Native,4848,0.000244765,80,4.04E-06,12/26/20,0.004985802
American Indian or Alaska Native,4950,0.000249915,82,4.14E-06,12/27/20,0.005183209
American Indian or Alaska Native,5023,0.0002536,82,4.14E-06,12/28/20,0.006069012
American Indian or Alaska Native,5090,0.000256983,81,4.09E-06,12/29/20,0.00700037
American Indian or Alaska Native,5090,0.000256983,81,4.09E-06,12/30/20,0.008534073
American Indian or Alaska Native,5242,0.000264657,82,4.14E-06,12/31/20,0.009273085
American Indian or Alaska Native,5358,0.000270514,85,4.29E-06,1/1/21,0.009323703
American Indian or Alaska Native,5444,0.000274856,85,4.29E-06,1/2/21,0.00963753
American Indian or Alaska Native,5498,0.000277582,85,4.29E-06,1/3/21,0.009713456
American Indian or Alaska Native,5583,0.000281874,86,4.34E-06,1/4/21,0.010720739
American Indian or Alaska Native,5646,0.000285054,87,4.39E-06,1/5/21,0.012001357
American Indian or Alaska Native,5750,0.000290305,90,4.54E-06,1/6/21,0.013580616
American Indian or Alaska Native,5926,0.000299191,91,4.59E-06,1/7/21,0.015873578
American Indian or Alaska Native,6103,0.000308127,95,4.80E-06,1/8/21,0.018029874
American Indian or Alaska Native,6261,0.000316104,96,4.85E-06,1/9/21,0.018530985
American Indian or Alaska Native,6354,0.0003208,97,4.90E-06,1/10/21,0.018789133
American Indian or Alaska Native,6420,0.000324132,97,4.90E-06,1/11/21,0.021021355
American Indian or Alaska Native,6509,0.000328625,99,5.00E-06,1/12/21,0.023749627
American Indian or Alaska Native,6595,0.000332967,99,5.00E-06,1/13/21,0.026462713
American Indian or Alaska Native,6699,0.000338218,102,5.15E-06,1/14/21,0.029788268
American Indian or Alaska Native,6840,0.000345337,101,5.10E-06,1/15/21,0.03254691
American Indian or Alaska Native,6957,0.000351244,101,5.10E-06,1/16/21,0.033635181
American Indian or Alaska Native,7041,0.000355485,102,5.15E-06,1/17/21,0.034050243
American Indian or Alaska Native,7106,0.000358767,102,5.15E-06,1/18/21,0.035224564
American Indian or Alaska Native,7155,0.00036124,102,5.15E-06,1/19/21,0.038808267
American Indian or Alaska Native,7242,0.000365633,107,5.40E-06,1/20/21,0.04242234
American Indian or Alaska Native,7336,0.000370379,110,5.55E-06,1/21/21,0.045919994
American Indian or Alaska Native,7387,0.000372954,110,5.55E-06,1/22/21,0.049002587
American Indian or Alaska Native,7480,0.000377649,112,5.65E-06,1/23/21,0.051017154
American Indian or Alaska Native,7573,0.000382344,112,5.65E-06,1/24/21,0.051700487
American Indian or Alaska Native,7614,0.000384414,117,5.91E-06,1/25/21,0.054018759
American Indian or Alaska Native,7664,0.000386939,117,5.91E-06,1/26/21,0.057911227
American Indian or Alaska Native,7719,0.000389716,120,6.06E-06,1/27/21,0.061130486
American Indian or Alaska Native,7770,0.000392291,121,6.11E-06,1/28/21,0.065281103
American Indian or Alaska Native,7837,0.000395673,123,6.21E-06,1/29/21,0.068439621
American Indian or Alaska Native,7909,0.000399308,126,6.36E-06,1/30/21,0.069877152
American Indian or Alaska Native,7955,0.000401631,128,6.46E-06,1/31/21,0.070600979
American Indian or Alaska Native,7990,0.000403398,130,6.56E-06,2/1/21,0.073339374
American Indian or Alaska Native,8029,0.000405367,135,6.82E-06,2/2/21,0.077930361
American Indian or Alaska Native,8079,0.000407891,138,6.97E-06,2/3/21,0.082035422
American Indian or Alaska Native,8140,0.000410971,141,7.12E-06,2/4/21,0.086839002
