race,total_cases,total cases/group population,deaths,total deaths/group population,date,doses/group population,total_doses,cumulative_total_doses,pfizer doses,moderna doses,jj doses,total_partially_vaccinated,cumulative_fully_vaccinated,cumulative_at_least_one_dose
American Indian or Alaska Native,3828,0.000193267,70,3.53E-06,12/16/20,0.000308765,58,61,61,0,0,61,0,61
American Indian or Alaska Native,3908,0.000197306,72,3.64E-06,12/17/20,0.000647901,67,128,128,0,0,128,0,128
American Indian or Alaska Native,4042,0.000204072,74,3.74E-06,12/18/20,0.001275555,124,252,252,0,0,252,0,252
American Indian or Alaska Native,4157,0.000209878,74,3.74E-06,12/19/20,0.001574197,59,311,311,0,0,311,0,311
American Indian or Alaska Native,4253,0.000214725,74,3.74E-06,12/20/20,0.00178679,42,353,353,0,0,353,0,353
American Indian or Alaska Native,4352,0.000219723,74,3.74E-06,12/21/20,0.002662469,173,526,520,6,0,526,0,526
American Indian or Alaska Native,4423,0.000223308,75,3.79E-06,12/22/20,0.003391358,144,670,643,27,0,670,0,670
American Indian or Alaska Native,4423,0.000223308,75,3.79E-06,12/23/20,0.00442395,204,874,767,107,0,874,0,874
American Indian or Alaska Native,4655,0.000235021,78,3.94E-06,12/24/20,0.00480358,75,949,817,132,0,949,0,949
American Indian or Alaska Native,4739,0.000239262,79,3.99E-06,12/25/20,0.004818765,3,952,819,133,0,952,0,952
American Indian or Alaska Native,4848,0.000244765,80,4.04E-06,12/26/20,0.004985802,33,985,840,145,0,985,0,985
American Indian or Alaska Native,4950,0.000249915,82,4.14E-06,12/27/20,0.005183209,39,1024,861,163,0,1024,0,1024
American Indian or Alaska Native,5023,0.0002536,82,4.14E-06,12/28/20,0.006069012,175,1199,945,254,0,1199,0,1199
American Indian or Alaska Native,5090,0.000256983,81,4.09E-06,12/29/20,0.00700037,184,1383,1041,342,0,1383,0,1383
American Indian or Alaska Native,5090,0.000256983,81,4.09E-06,12/30/20,0.008534073,303,1686,1141,545,0,1686,0,1686
American Indian or Alaska Native,5242,0.000264657,82,4.14E-06,12/31/20,0.009273085,146,1832,1177,655,0,1832,0,1832
American Indian or Alaska Native,5358,0.000270514,85,4.29E-06,1/1/21,0.009323703,10,1842,1183,659,0,1842,0,1842
American Indian or Alaska Native,5444,0.000274856,85,4.29E-06,1/2/21,0.00963753,62,1904,1218,686,0,1904,0,1904
American Indian or Alaska Native,5498,0.000277582,85,4.29E-06,1/3/21,0.009713456,15,1919,1224,695,0,1919,0,1919
American Indian or Alaska Native,5583,0.000281874,86,4.34E-06,1/4/21,0.010720739,199,2118,1271,847,0,2118,0,2118
