race,total_cases,percent_cases,deaths,percent_deaths,percent_of_ca_population,report_date
American Indian or Alaska Native,33,1.6661E-06,3,1.51464E-07,0.5,4/13/20
American Indian or Alaska Native,33,1.6661E-06,3,1.51464E-07,0.5,4/14/20
American Indian or Alaska Native,32,1.61561E-06,3,1.51464E-07,0.5,4/15/20
American Indian or Alaska Native,34,1.71659E-06,4,2.01951E-07,0.5,4/16/20
American Indian or Alaska Native,38,1.91854E-06,4,2.01951E-07,0.5,4/17/20
American Indian or Alaska Native,39,1.96903E-06,4,2.01951E-07,0.5,4/18/20
American Indian or Alaska Native,40,2.01951E-06,4,2.01951E-07,0.5,4/19/20
American Indian or Alaska Native,43,2.17098E-06,4,2.01951E-07,0.5,4/20/20
American Indian or Alaska Native,50,2.52439E-06,4,2.01951E-07,0.5,4/21/20
American Indian or Alaska Native,53,2.67586E-06,5,2.52439E-07,0.5,4/22/20
American Indian or Alaska Native,53,2.67586E-06,7,3.53415E-07,0.5,4/23/20
American Indian or Alaska Native,56,2.82732E-06,7,3.53415E-07,0.5,4/24/20
American Indian or Alaska Native,58,2.92829E-06,7,3.53415E-07,0.5,4/25/20
American Indian or Alaska Native,59,2.97878E-06,7,3.53415E-07,0.5,4/26/20
American Indian or Alaska Native,63,3.18073E-06,7,3.53415E-07,0.5,4/27/20
American Indian or Alaska Native,71,3.58464E-06,7,3.53415E-07,0.5,4/28/20
American Indian or Alaska Native,73,3.68561E-06,7,3.53415E-07,0.5,4/29/20
American Indian or Alaska Native,66,3.3322E-06,7,3.53415E-07,0.5,4/30/20
American Indian or Alaska Native,68,3.43317E-06,7,3.53415E-07,0.5,5/1/20
American Indian or Alaska Native,70,3.53415E-06,7,3.53415E-07,0.5,5/2/20
American Indian or Alaska Native,71,3.58464E-06,7,3.53415E-07,0.5,5/3/20
American Indian or Alaska Native,72,3.63512E-06,7,3.53415E-07,0.5,5/4/20
American Indian or Alaska Native,74,3.7361E-06,8,4.03903E-07,0.5,5/5/20
American Indian or Alaska Native,75,3.78659E-06,8,4.03903E-07,0.5,5/6/20
American Indian or Alaska Native,78,3.93805E-06,8,4.03903E-07,0.5,5/7/20
American Indian or Alaska Native,80,4.03903E-06,8,4.03903E-07,0.5,5/8/20
American Indian or Alaska Native,84,4.24098E-06,8,4.03903E-07,0.5,5/9/20
American Indian or Alaska Native,87,4.39244E-06,8,4.03903E-07,0.5,5/10/20
American Indian or Alaska Native,89,4.49342E-06,9,4.54391E-07,0.5,5/11/20
American Indian or Alaska Native,91,4.59439E-06,9,4.54391E-07,0.5,5/12/20
American Indian or Alaska Native,92,4.64488E-06,10,5.04878E-07,0.5,5/13/20
American Indian or Alaska Native,95,4.79634E-06,11,5.55366E-07,0.5,5/14/20
American Indian or Alaska Native,99,4.9983E-06,13,6.56342E-07,0.5,5/15/20
American Indian or Alaska Native,104,5.25074E-06,14,7.0683E-07,0.5,5/16/20
American Indian or Alaska Native,108,5.45269E-06,14,7.0683E-07,0.5,5/17/20
American Indian or Alaska Native,111,5.60415E-06,14,7.0683E-07,0.5,5/18/20
American Indian or Alaska Native,113,5.70513E-06,14,7.0683E-07,0.5,5/19/20
American Indian or Alaska Native,120,6.05854E-06,14,7.0683E-07,0.5,5/20/20
American Indian or Alaska Native,121,6.10903E-06,15,7.57318E-07,0.5,5/21/20
American Indian or Alaska Native,122,6.15952E-06,14,7.0683E-07,0.5,5/22/20
American Indian or Alaska Native,126,6.36147E-06,14,7.0683E-07,0.5,5/23/20
American Indian or Alaska Native,132,6.66439E-06,14,7.0683E-07,0.5,5/24/20
American Indian or Alaska Native,137,6.91683E-06,14,7.0683E-07,0.5,5/25/20
American Indian or Alaska Native,139,7.01781E-06,14,7.0683E-07,0.5,5/26/20
