demographic_value,10000 * total cases/group population,total_cases,cases/total population,deaths,total deaths/group population,report_date
American Indian or Alaska Native,0.000001896,33,1.89614E-09,3,0.000312061,4/13/20
American Indian or Alaska Native,1.89614E-06,33,1.89614E-09,3,0.000312061,4/13/20
American Indian or Alaska Native,1.83868E-06,32,1.83868E-09,3,0.000312061,4/13/20
American Indian or Alaska Native,1.9536E-06,34,1.9536E-09,4,0.000416082,4/13/20
American Indian or Alaska Native,2.18343E-06,38,2.18343E-09,4,0.000416082,4/13/20
American Indian or Alaska Native,2.24089E-06,39,2.24089E-09,4,0.000416082,4/13/20
American Indian or Alaska Native,2.29835E-06,40,2.29835E-09,4,0.000416082,4/13/20
American Indian or Alaska Native,2.47073E-06,43,2.47073E-09,4,0.000416082,4/13/20
American Indian or Alaska Native,2.87294E-06,50,2.87294E-09,4,0.000416082,4/13/20
American Indian or Alaska Native,3.04524E-06,53,3.04524E-09,5,0.000520102,4/14/20
American Indian or Alaska Native,3.04524E-06,53,3.04524E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,3.21762E-06,56,3.21762E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,3.33253E-06,58,3.33253E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,3.38999E-06,59,3.38999E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,3.61982E-06,63,3.61982E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,4.07948E-06,71,4.07948E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,4.19439E-06,73,4.19439E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,3.79219E-06,66,3.79219E-09,7,0.000728143,4/14/20
American Indian or Alaska Native,3.90702E-06,68,3.90702E-09,7,0.000728143,4/15/20
American Indian or Alaska Native,4.02193E-06,70,4.02193E-09,7,0.000728143,4/15/20
American Indian or Alaska Native,4.07938E-06,71,4.07938E-09,7,0.000728143,4/15/20
American Indian or Alaska Native,4.13684E-06,72,4.13684E-09,7,0.000728143,4/15/20
American Indian or Alaska Native,4.25175E-06,74,4.25175E-09,8,0.000832163,4/15/20
American Indian or Alaska Native,4.30921E-06,75,4.30921E-09,8,0.000832163,4/15/20
American Indian or Alaska Native,4.48158E-06,78,4.48158E-09,8,0.000832163,4/15/20
American Indian or Alaska Native,4.59649E-06,80,4.59649E-09,8,0.000832163,4/15/20
American Indian or Alaska Native,4.82631E-06,84,4.82631E-09,8,0.000832163,4/15/20
American Indian or Alaska Native,4.99857E-06,87,4.99857E-09,8,0.000832163,4/16/20
American Indian or Alaska Native,5.11348E-06,89,5.11348E-09,9,0.000936183,4/16/20
American Indian or Alaska Native,5.22839E-06,91,5.22839E-09,9,0.000936183,4/16/20
American Indian or Alaska Native,5.28584E-06,92,5.28584E-09,10,0.001040204,4/16/20
American Indian or Alaska Native,5.45821E-06,95,5.45821E-09,11,0.001144224,4/16/20
American Indian or Alaska Native,5.68803E-06,99,5.68803E-09,13,0.001352265,4/16/20
American Indian or Alaska Native,5.9753E-06,104,5.9753E-09,14,0.001456285,4/16/20
American Indian or Alaska Native,6.20512E-06,108,6.20512E-09,14,0.001456285,4/16/20
American Indian or Alaska Native,6.37748E-06,111,6.37748E-09,14,0.001456285,4/16/20
American Indian or Alaska Native,6.49225E-06,113,6.49225E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,6.89442E-06,120,6.89442E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,6.95187E-06,121,6.95187E-09,15,0.001560306,4/17/20
American Indian or Alaska Native,7.00933E-06,122,7.00933E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,7.23914E-06,126,7.23914E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,7.58386E-06,132,7.58386E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,7.87113E-06,137,7.87113E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,7.98604E-06,139,7.98604E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,8.2733E-06,144,8.2733E-09,14,0.001456285,4/17/20
American Indian or Alaska Native,8.50292E-06,148,8.50292E-09,14,0.001456285,4/18/20
American Indian or Alaska Native,8.90509E-06,155,8.90509E-09,14,0.001456285,4/18/20
American Indian or Alaska Native,9.2498E-06,161,9.2498E-09,14,0.001456285,4/18/20
American Indian or Alaska Native,9.59452E-06,167,9.59452E-09,14,0.001456285,4/18/20
American Indian or Alaska Native,9.76687E-06,170,9.76687E-09,14,0.001456285,4/18/20
American Indian or Alaska Native,9.93923E-06,173,9.93923E-09,14,0.001456285,4/18/20
American Indian or Alaska Native,1.02265E-05,178,1.02265E-08,13,0.001352265,4/18/20
American Indian or Alaska Native,1.05138E-05,183,1.05138E-08,13,0.001352265,4/18/20
American Indian or Alaska Native,1.06861E-05,186,1.06861E-08,13,0.001352265,4/18/20
American Indian or Alaska Native,1.07433E-05,187,1.07433E-08,13,0.001352265,4/19/20
American Indian or Alaska Native,1.07433E-05,187,1.07433E-08,13,0.001352265,4/19/20
American Indian or Alaska Native,1.08582E-05,189,1.08582E-08,13,0.001352265,4/19/20
American Indian or Alaska Native,1.09731E-05,191,1.09731E-08,13,0.001352265,4/19/20
American Indian or Alaska Native,1.12029E-05,195,1.12029E-08,14,0.001456285,4/19/20
American Indian or Alaska Native,1.14327E-05,199,1.14327E-08,14,0.001456285,4/19/20
American Indian or Alaska Native,1.15476E-05,201,1.15476E-08,13,0.001352265,4/19/20
American Indian or Alaska Native,1.172E-05,204,1.172E-08,14,0.001456285,4/19/20
American Indian or Alaska Native,1.18349E-05,206,1.18349E-08,14,0.001456285,4/19/20
American Indian or Alaska Native,1.19495E-05,208,1.19495E-08,14,0.001456285,4/20/20
American Indian or Alaska Native,1.2007E-05,209,1.2007E-08,14,0.001456285,4/20/20
American Indian or Alaska Native,1.24091E-05,216,1.24091E-08,15,0.001560306,4/20/20
American Indian or Alaska Native,1.2524E-05,218,1.2524E-08,15,0.001560306,4/20/20
American Indian or Alaska Native,1.28687E-05,224,1.28687E-08,15,0.001560306,4/20/20
American Indian or Alaska Native,1.30411E-05,227,1.30411E-08,15,0.001560306,4/20/20
American Indian or Alaska Native,1.3156E-05,229,1.3156E-08,16,0.001664326,4/20/20
American Indian or Alaska Native,1.34432E-05,234,1.34432E-08,16,0.001664326,4/20/20
American Indian or Alaska Native,1.40177E-05,244,1.40177E-08,18,0.001872367,4/20/20
American Indian or Alaska Native,1.42472E-05,248,1.42472E-08,18,0.001872367,4/21/20
American Indian or Alaska Native,1.45344E-05,253,1.45344E-08,17,0.001768347,4/21/20
American Indian or Alaska Native,1.49366E-05,260,1.49366E-08,18,0.001872367,4/21/20
American Indian or Alaska Native,1.52812E-05,266,1.52812E-08,18,0.001872367,4/21/20
American Indian or Alaska Native,1.59706E-05,278,1.59706E-08,22,0.002288449,4/21/20
American Indian or Alaska Native,1.65451E-05,288,1.65451E-08,22,0.002288449,4/21/20
American Indian or Alaska Native,1.71196E-05,298,1.71196E-08,22,0.002288449,4/21/20
American Indian or Alaska Native,1.7809E-05,310,1.7809E-08,22,0.002288449,4/21/20
American Indian or Alaska Native,1.85558E-05,323,1.85558E-08,23,0.002392469,4/21/20
American Indian or Alaska Native,1.93596E-05,337,1.93596E-08,23,0.002392469,4/22/20
