race,total_cases,relative_cases,deaths,relative_deaths,percent_of_ca_population,date,relative_doses,cumulative_total_doses,total_partially_vaccinated,cumulative_fully_vaccinated
American Indian or Alaska Native,3691,0.07382,67,0.134,0.5,12/15/20,0.01,3,3,0
American Indian or Alaska Native,3828,0.07656,70,0.14,0.5,12/16/20,0.12,61,61,0
American Indian or Alaska Native,3908,0.07816,72,0.144,0.5,12/17/20,0.26,128,128,0
American Indian or Alaska Native,4042,0.08084,74,0.148,0.5,12/18/20,0.51,253,253,0
American Indian or Alaska Native,4157,0.08314,74,0.148,0.5,12/19/20,0.63,313,313,0
American Indian or Alaska Native,4253,0.08506,74,0.148,0.5,12/20/20,0.71,355,355,0
American Indian or Alaska Native,4352,0.08704,74,0.148,0.5,12/21/20,1.06,529,529,0
American Indian or Alaska Native,4423,0.08846,75,0.15,0.5,12/22/20,1.34,672,672,0
American Indian or Alaska Native,4423,0.08846,75,0.15,0.5,12/23/20,1.75,877,877,0
American Indian or Alaska Native,4655,0.0931,78,0.156,0.5,12/24/20,1.90,952,952,0
American Indian or Alaska Native,4739,0.09478,79,0.158,0.5,12/25/20,1.91,955,955,0
American Indian or Alaska Native,4848,0.09696,80,0.16,0.5,12/26/20,1.98,988,988,0
American Indian or Alaska Native,4950,0.099,82,0.164,0.5,12/27/20,2.06,1028,1028,0
American Indian or Alaska Native,5023,0.10046,82,0.164,0.5,12/28/20,2.41,1203,1203,0
American Indian or Alaska Native,5090,0.1018,81,0.162,0.5,12/29/20,2.78,1390,1390,0
American Indian or Alaska Native,5090,0.1018,81,0.162,0.5,12/30/20,3.39,1695,1695,0
American Indian or Alaska Native,5242,0.10484,82,0.164,0.5,12/31/20,3.68,1841,1841,0
American Indian or Alaska Native,5358,0.10716,85,0.17,0.5,1/1/21,3.70,1852,1852,0
American Indian or Alaska Native,5444,0.10888,85,0.17,0.5,1/2/21,3.83,1914,1914,0
American Indian or Alaska Native,5498,0.10996,85,0.17,0.5,1/3/21,3.86,1930,1930,0
American Indian or Alaska Native,5583,0.11166,86,0.172,0.5,1/4/21,4.26,2128,2128,0
American Indian or Alaska Native,5646,0.11292,87,0.174,0.5,1/5/21,4.76,2380,2357,12
American Indian or Alaska Native,5750,0.115,90,0.18,0.5,1/6/21,5.39,2693,2538,78
American Indian or Alaska Native,5926,0.11852,91,0.182,0.5,1/7/21,6.29,3147,2813,168
American Indian or Alaska Native,6103,0.12206,95,0.19,0.5,1/8/21,7.15,3574,3002,287
American Indian or Alaska Native,6261,0.12522,96,0.192,0.5,1/9/21,7.35,3673,3025,325
American Indian or Alaska Native,6354,0.12708,97,0.194,0.5,1/10/21,7.45,3725,3033,347
American Indian or Alaska Native,6420,0.1284,97,0.194,0.5,1/11/21,8.33,4166,3189,490
American Indian or Alaska Native,6509,0.13018,99,0.198,0.5,1/12/21,9.41,4705,3532,588
American Indian or Alaska Native,6595,0.1319,99,0.198,0.5,1/13/21,10.48,5242,3853,696
American Indian or Alaska Native,6699,0.13398,102,0.204,0.5,1/14/21,11.81,5903,4411,748
American Indian or Alaska Native,6840,0.1368,101,0.202,0.5,1/15/21,12.89,6445,4875,788
American Indian or Alaska Native,6957,0.13914,101,0.202,0.5,1/16/21,13.32,6658,5052,806
American Indian or Alaska Native,7041,0.14082,102,0.204,0.5,1/17/21,13.48,6742,5116,816
American Indian or Alaska Native,7106,0.14212,102,0.204,0.5,1/18/21,13.94,6972,5240,869
American Indian or Alaska Native,7155,0.1431,102,0.204,0.5,1/19/21,15.36,7681,5694,996
American Indian or Alaska Native,7242,0.14484,107,0.214,0.5,1/20/21,16.80,8399,6162,1120
American Indian or Alaska Native,7336,0.14672,110,0.22,0.5,1/21/21,18.20,9098,6742,1180
American Indian or Alaska Native,7387,0.14774,110,0.22,0.5,1/22/21,19.42,9708,7236,1238
American Indian or Alaska Native,7480,0.1496,112,0.224,0.5,1/23/21,20.21,10105,7570,1270
American Indian or Alaska Native,7573,0.15146,112,0.224,0.5,1/24/21,20.48,10241,7693,1276
American Indian or Alaska Native,7614,0.15228,117,0.234,0.5,1/25/21,21.40,10699,7930,1387
American Indian or Alaska Native,7664,0.15328,117,0.234,0.5,1/26/21,22.94,11468,8426,1524
American Indian or Alaska Native,7719,0.15438,120,0.24,0.5,1/27/21,24.22,12110,8783,1667
American Indian or Alaska Native,7770,0.1554,121,0.242,0.5,1/28/21,25.86,12928,9328,1804
American Indian or Alaska Native,7837,0.15674,123,0.246,0.5,1/29/21,27.11,13553,9706,1927
American Indian or Alaska Native,7909,0.15818,126,0.252,0.5,1/30/21,27.67,13835,9923,1959
American Indian or Alaska Native,7955,0.1591,128,0.256,0.5,1/31/21,27.94,13968,10026,1974
American Indian or Alaska Native,7990,0.1598,130,0.26,0.5,2/1/21,29.02,14511,10273,2122
American Indian or Alaska Native,8029,0.16058,135,0.27,0.5,2/2/21,30.83,15414,10805,2307
American Indian or Alaska Native,8079,0.16158,138,0.276,0.5,2/3/21,32.45,16227,11029,2601
American Indian or Alaska Native,8140,0.1628,141,0.282,0.5,2/4/21,34.36,17179,11300,2941
American Indian or Alaska Native,8183,0.16366,145,0.29,0.5,2/5/21,36.34,18168,11467,3351
American Indian or Alaska Native,8219,0.16438,145,0.29,0.5,2/6/21,37.41,18706,11840,3434
American Indian or Alaska Native,8252,0.16504,145,0.29,0.5,2/7/21,37.69,18844,11902,3472
American Indian or Alaska Native,8284,0.16568,146,0.292,0.5,2/8/21,39.11,19555,12040,3759
American Indian or Alaska Native,8320,0.1664,150,0.3,0.5,2/9/21,41.13,20565,12229,4170
American Indian or Alaska Native,8351,0.16702,153,0.306,0.5,2/10/21,43.05,21524,12187,4668
American Indian or Alaska Native,8392,0.16784,154,0.308,0.5,2/11/21,45.71,22854,12304,5273
American Indian or Alaska Native,8456,0.16912,158,0.316,0.5,2/12/21,48.02,24012,12510,5749
American Indian or Alaska Native,8506,0.17012,158,0.316,0.5,2/13/21,48.98,24492,12727,5882
American Indian or Alaska Native,8537,0.17074,160,0.32,0.5,2/14/21,49.50,24748,12811,5969
American Indian or Alaska Native,8549,0.17098,160,0.32,0.5,2/15/21,50.16,25082,12877,6105
American Indian or Alaska Native,8561,0.17122,162,0.324,0.5,2/16/21,52.35,26173,13045,6573
American Indian or Alaska Native,8574,0.17148,163,0.326,0.5,2/17/21,54.20,27101,13058,7033
American Indian or Alaska Native,8612,0.17224,163,0.326,0.5,2/18/21,56.45,28223,12943,7654
American Indian or Alaska Native,8653,0.17306,165,0.33,0.5,2/19/21,58.06,29031,12946,8059
American Indian or Alaska Native,8681,0.17362,166,0.332,0.5,2/20/21,59.38,29692,12942,8392
American Indian or Alaska Native,8701,0.17402,165,0.33,0.5,2/21/21,59.78,29891,12980,8472
American Indian or Alaska Native,8714,0.17428,165,0.33,0.5,2/22/21,60.91,30457,13027,8735
American Indian or Alaska Native,8740,0.1748,165,0.33,0.5,2/23/21,63.05,31526,13079,9249
American Indian or Alaska Native,8770,0.1754,167,0.334,0.5,2/24/21,65.00,32500,13027,9770
American Indian or Alaska Native,8813,0.17626,171,0.342,0.5,2/25/21,67.65,33825,12954,10477
American Indian or Alaska Native,8835,0.1767,172,0.344,0.5,2/26/21,70.20,35101,13160,11017
American Indian or Alaska Native,8861,0.17722,173,0.346,0.5,2/27/21,71.60,35799,13357,11275
American Indian or Alaska Native,8882,0.17764,174,0.348,0.5,2/28/21,72.35,36177,13556,11368
American Indian or Alaska Native,8894,0.17788,174,0.348,0.5,3/1/21,73.81,36903,13714,11654
American Indian or Alaska Native,8915,0.1783,173,0.346,0.5,3/2/21,75.76,37879,13918,12049
American Indian or Alaska Native,8929,0.17858,176,0.352,0.5,3/3/21,78.08,39039,14152,12528
American Indian or Alaska Native,8972,0.17944,180,0.36,0.5,3/4/21,80.79,40397,14120,13227
American Indian or Alaska Native,9004,0.18008,183,0.366,0.5,3/5/21,83.04,41519,14483,13615
American Indian or Alaska Native,9025,0.1805,184,0.368,0.5,3/6/21,84.95,42476,14650,14030
American Indian or Alaska Native,9045,0.1809,184,0.368,0.5,3/7/21,85.68,42842,14812,14149
American Indian or Alaska Native,9053,0.18106,185,0.37,0.5,3/8/21,87.30,43648,15113,14435
American Indian or Alaska Native,9163,0.18326,187,0.374,0.5,3/9/21,89.66,44831,15355,14949
American Indian or Alaska Native,9183,0.18366,188,0.376,0.5,3/10/21,91.74,45868,15566,15419
American Indian or Alaska Native,9208,0.18416,191,0.382,0.5,3/11/21,94.84,47422,15695,16201
American Indian or Alaska Native,9237,0.18474,193,0.386,0.5,3/12/21,97.92,48960,15756,17034
American Indian or Alaska Native,9255,0.1851,192,0.384,0.5,3/13/21,99.68,49839,15997,17412
American Indian or Alaska Native,9262,0.18524,192,0.384,0.5,3/14/21,100.58,50292,16083,17630
American Indian or Alaska Native,9267,0.18534,192,0.384,0.5,3/15/21,102.28,51141,16309,17980
American Indian or Alaska Native,9289,0.18578,193,0.386,0.5,3/16/21,104.99,52494,16652,18546
American Indian or Alaska Native,9312,0.18624,198,0.396,0.5,3/17/21,107.69,53844,16894,19144
American Indian or Alaska Native,9328,0.18656,199,0.398,0.5,3/18/21,110.58,55290,17051,19826
American Indian or Alaska Native,9348,0.18696,198,0.396,0.5,3/19/21,113.21,56606,17230,20434
American Indian or Alaska Native,9387,0.18774,200,0.4,0.5,3/20/21,114.87,57436,17388,20792
American Indian or Alaska Native,9405,0.1881,201,0.402,0.5,3/21/21,115.81,57904,17425,21025
American Indian or Alaska Native,9414,0.18828,200,0.4,0.5,3/22/21,117.44,58721,17734,21304
American Indian or Alaska Native,9416,0.18832,200,0.4,0.5,3/23/21,119.91,59953,18060,21791
American Indian or Alaska Native,9429,0.18858,202,0.404,0.5,3/24/21,122.64,61321,18309,22376
American Indian or Alaska Native,9452,0.18904,201,0.402,0.5,3/25/21,125.75,62875,18343,23183
American Indian or Alaska Native,9473,0.18946,202,0.404,0.5,3/26/21,128.70,64351,18442,23902
American Indian or Alaska Native,9501,0.19002,205,0.41,0.5,3/27/21,130.48,65239,18458,24374
American Indian or Alaska Native,9513,0.19026,205,0.41,0.5,3/28/21,131.31,65654,18455,24591
American Indian or Alaska Native,9518,0.19036,204,0.408,0.5,3/29/21,133.16,66579,18566,25014
American Indian or Alaska Native,9529,0.19058,207,0.414,0.5,3/30/21,135.74,67868,18873,25531
American Indian or Alaska Native,9539,0.19078,205,0.41,0.5,3/31/21,138.15,69073,19050,26085
American Indian or Alaska Native,9556,0.19112,205,0.41,0.5,4/1/21,141.36,70680,19247,26861
American Indian or Alaska Native,9583,0.19166,205,0.41,0.5,4/2/21,144.05,72024,19356,27538
American Indian or Alaska Native,9592,0.19184,204,0.408,0.5,4/3/21,145.82,72910,19409,28023
American Indian or Alaska Native,9597,0.19194,202,0.404,0.5,4/4/21,146.49,73245,19376,28234
American Indian or Alaska Native,9606,0.19212,206,0.412,0.5,4/5/21,148.59,74296,19403,28820
American Indian or Alaska Native,9620,0.1924,206,0.412,0.5,4/6/21,151.81,75906,19495,29702
American Indian or Alaska Native,9627,0.19254,206,0.412,0.5,4/7/21,154.69,77347,19707,30447
American Indian or Alaska Native,9635,0.1927,205,0.41,0.5,4/8/21,158.25,79124,19733,31472
American Indian or Alaska Native,9678,0.19356,211,0.422,0.5,4/9/21,161.42,80712,19771,32396
American Indian or Alaska Native,9694,0.19388,211,0.422,0.5,4/10/21,163.43,81715,19715,33031
American Indian or Alaska Native,9705,0.1941,213,0.426,0.5,4/11/21,164.29,82143,19690,33287
American Indian or Alaska Native,9709,0.19418,214,0.428,0.5,4/12/21,166.10,83052,19778,33757
American Indian or Alaska Native,9720,0.1944,214,0.428,0.5,4/13/21,168.68,84339,20005,34292
American Indian or Alaska Native,9730,0.1946,215,0.43,0.5,4/14/21,171.02,85509,19967,34905
American Indian or Alaska Native,9745,0.1949,215,0.43,0.5,4/15/21,173.75,86877,19959,35594
American Indian or Alaska Native,9759,0.19518,216,0.432,0.5,4/16/21,176.14,88068,19981,36180
American Indian or Alaska Native,9773,0.19546,217,0.434,0.5,4/17/21,177.74,88871,20140,36504
American Indian or Alaska Native,9779,0.19558,217,0.434,0.5,4/18/21,178.38,89191,20115,36680
American Indian or Alaska Native,9786,0.19572,217,0.434,0.5,4/19/21,180.13,90063,20091,37129
American Indian or Alaska Native,9796,0.19592,217,0.434,0.5,4/20/21,182.65,91326,20045,37784
American Indian or Alaska Native,9816,0.19632,215,0.43,0.5,4/21/21,185.01,92504,19988,38406
American Indian or Alaska Native,9818,0.19636,215,0.43,0.5,4/22/21,187.41,93706,19840,39081
American Indian or Alaska Native,9827,0.19654,215,0.43,0.5,4/23/21,189.85,94926,19703,39760
American Indian or Alaska Native,9841,0.19682,218,0.436,0.5,4/24/21,191.53,95766,19795,40138
American Indian or Alaska Native,9851,0.19702,218,0.436,0.5,4/25/21,192.23,96114,19909,40256
American Indian or Alaska Native,9857,0.19714,218,0.436,0.5,4/26/21,193.82,96909,19883,40670
American Indian or Alaska Native,9863,0.19726,218,0.436,0.5,4/27/21,196.05,98025,19857,41254
American Indian or Alaska Native,9874,0.19748,219,0.438,0.5,4/28/21,198.08,99042,19851,41785
American Indian or Alaska Native,9880,0.1976,219,0.438,0.5,4/29/21,200.34,100168,19651,42468
American Indian or Alaska Native,9566,0.19132,216,0.432,0.5,4/30/21,202.44,101219,19533,43072
American Indian or Alaska Native,9583,0.19166,216,0.432,0.5,5/1/21,203.71,101857,19488,43429
American Indian or Alaska Native,9592,0.19184,216,0.432,0.5,5/2/21,204.34,102168,19460,43606
